,位置,次数
0,合一国际,16
1,富力城南区,41
2,云山诗意,33
3,嘉华苑,10
4,云天翠庭,9
5,新世界嘉云府,9
6,远景新苑,4
7,泽德花苑,26
8,云和花园,3
9,广园云苑新村,32
10,云翠轩,2
11,飞鹅新村,4
12,合益街31号大院,5
13,富力半岛花园,47
14,岭南新世界,64
15,东方明珠花园,7
16,保利西海岸星海花园,7
17,中海金沙馨园一期,5
18,雅怡花园,1
19,金湖雅苑,13
20,民航小区向云新街,8
21,怡心苑,1
22,云泉居,9
23,利源大厦,1
24,盈翠华庭,11
25,晓翠苑,11
26,百荣园,11
27,麒麟东街宿舍(麒麟东街53-77号单号),3
28,富力桃园,80
29,白云骏景家园,5
30,云裳丽影,21
31,景泰新村,46
32,城西花园,13
33,体育花园,5
34,穗和名庭,6
35,金域蓝湾,21
36,飞云楼,1
37,合益小区,10
38,心谊交警宿舍,6
39,紫薇花园,14
40,上步花园,11
41,侨德花园,11
42,侨爱苑,4
43,嘉柏居,4
44,天河御品,20
45,金碧雅苑,32
46,春暖花园,7
47,恒丰花园,3
48,富力城北区,27
49,广信白兰花园,10
50,白云畔山花园,12
51,隆康花园,6
52,聚芳园,3
53,白云高尔夫花园东区,32
54,黄石花园,23
55,汇侨新城北区,26
56,心谊路派出所宿舍,1
57,颐和上院二期,6
58,景泰名苑,5
59,岭南花园,9
60,汇侨新城南区,33
61,云东小区,10
62,祥景花园AC区,29
63,机安宿舍,7
64,百事佳新村A区,14
65,又一居花园,15
66,云顶花园,6
67,一品湖山,23
68,白云明珠广场,13
69,云东花园,14
70,云逸苑,2
71,民航小区向云西街,3
72,万科云山花园,17
73,白沙新村,7
74,金迪城市花园,17
75,新市花园二区,2
76,春庭花园,8
77,田心花园,5
78,同和云苑新村,15
79,飞鹅西路,7
80,白天鹅花园,11
81,元邦航空家园,18
82,南湖半山东苑,27
83,松柏新村,8
84,黄石小区,5
85,同德花园同景苑,6
86,嘉景园,6
87,汇侨新城东区,6
88,恒大绿洲花园,7
89,万科蓝山,32
90,怡新花园,11
91,大金钟路60号-128号大院,2
92,公路局宿舍,6
93,云西小区,4
94,倚绿山庄,12
95,江南世家,4
96,岭南新世界锦云峰,17
97,紫荆花园,9
98,粮油宿舍,5
99,广信春兰花园,19
100,榕溪花园,10
101,华乐药厂干部楼,3
102,花季小区,7
103,雅居乐南湖半岛花园,21
104,新世界云逸,3
105,星汇金沙花园,10
106,镇泰楼,3
107,中海金沙馨园二期西区,4
108,乐得花园,25
109,海德花园,8
110,星汇金沙雅筑,2
111,保利西海岸汇海花园,14
112,白云雅苑,6
113,翠逸家园,9
114,瑞晖花园,16
115,金碧新城,36
116,腾龙阁,4
117,富力阳光美居,21
118,颐和山庄,9
119,京溪竹园小区,2
120,阳光花园,12
121,擎山苑,11
122,华园新村,2
123,松洲花园,2
124,同德花园同雅苑,14
125,百顺台花园,3
126,天元大厦,1
127,润祥大厦,3
128,集贤苑,11
129,云山熹景,15
130,恒骏花园,16
131,保利春天里,3
132,深业江悦湾,8
133,嘉德苑,2
134,粤溪苑,1
135,春鸿居,2
136,新市花园一期,7
137,诚德大厦,3
138,广园中路,1
139,晓景苑,3
140,金满花园,1
141,积德花园,11
142,致荔楼,3
143,恒德苑,5
144,宏航苑,7
145,康盈阁,3
146,康雅花园,6
147,保利江岸花园,8
148,云霄楼,1
149,枫溪苑,8
150,汇雅花园,13
151,汇美西苑,2
152,京溪尚苑,4
153,富业苑云岭秀色,1
154,梅园新居,2
155,云山锦绣家园,7
156,纵横缤城,7
157,保利西海岸瀚海花园,2
158,嘉利苑,4
159,三元里大道,6
160,云山居,17
161,交电新村,4
162,西城苑,2
163,金德苑,6
164,万方园,6
165,都市品格,7
166,金桂园,16
167,盈富居,2
168,御金沙,4
169,白云山制药厂前山宿舍,8
170,梅苑小区,15
171,白云高尔夫花园荷塘月色,26
172,荔苑公寓,9
173,隆泰逸品君庭,1
174,南航新村,8
175,金满家园,6
176,佳地新都,5
177,松涛北苑,11
178,御金沙澜山,4
179,景松苑,3
180,中海金沙馨园二期东区,1
181,白云高尔夫花园西区,13
182,白云花园,4
183,锦翠苑(增槎路),1
184,御鹿华轩,2
185,馨雅居,4
186,御景花园,3
187,梅园大厦,3
188,梅宾东宿舍,5
189,圣雅堡,7
190,东湖映月,12
191,圣地天河星荟,4
192,美景苑,3
193,君华香柏广场,21
194,锦翠苑(金钟横路),3
195,金印大厦,2
196,云景花园云景名都,12
197,油料宿舍,1
198,恒大御府,5
199,中海云麓公馆,4
200,新兴白云花园,10
201,元邦苑,2
202,佳景楼,1
203,新市广场,2
204,山水庭苑,31
205,民航小区松云街,3
206,祥景花园雍翠园,15
207,顺景花园,3
208,白云家园,2
209,发改委宿舍,3
210,和馨雅居,5
211,白云尚城,8
212,佳兆业天御,6
213,骏御华庭,3
214,万科爱地住宅区,3
215,时代玫瑰园,29
216,怡富尚苑,4
217,广东美术馆宿舍,1
218,棠乐路13号大院,1
219,云山雅苑,6
220,香江苑,3
221,飞行小区,5
222,雅图居,2
223,万科峯境,4
224,时代花园,11
225,金景大厦,4
226,金湖花园,8
227,松涛南苑,11
228,新景花苑,1
229,时代花生Ⅱ,5
230,景富明珠,6
231,富和花园,6
232,荷塘领会,8
233,黄石大厦,7
234,同和信用社宿舍楼,2
235,丽康居,7
236,齐富路法院宿舍,3
237,贝丽花园,9
238,云景花园云桂苑,4
239,三元里大道中医院宿舍,4
240,保利珑熙,4
241,荔雅苑,8
242,中意花苑,9
243,南航明珠雅苑,2
244,利海绿洲花园,17
245,华发四季名苑,2
246,云涛花园,4
247,云景花园云桦苑,6
248,卡布奇诺,7
249,旧云东小区,2
250,南湖半山豪庭,4
251,顺丰翠园,5
252,交安大楼,1
253,流溪半岛,4
254,保利白云山庄,3
255,新市花园一区,4
256,广州市第三机床厂宿舍,2
257,佳丽轩,4
258,依云小镇,4
259,心谊路园林局宿舍,1
260,金菊苑,1
261,金广电大厦,1
262,凯云新世界,3
263,客车厂宿舍,2
264,春晖闲庭,8
265,白云花园白云大厦,1
266,佳润云凯雅寓,1
267,颐和高尔夫庄园,3
268,祥港花园,3
269,正升雅境,9
270,南湖生活区,1
271,富林居,3
272,祥景花园B区,3
273,同逸苑,1
274,云景花园云景苑,8
275,电视台宿舍,4
276,岭南雅院,3
277,康盈雅园,1
278,金亿皮具城,2
279,云景花园云枫苑,5
280,银苑大厦(白云),3
281,成丰大厦,2
282,梅花园宾馆宿舍,1
283,广州中医药大学宿舍,2
284,白云堡豪苑,2
285,明月金岸花园,4
286,保利云禧西区,3
287,云信小区,1
288,金湖翡翠山,2
289,白云畔山花园圣地摩坊,1
290,松园山庄,1
291,云熙雅苑,2
292,新天半山墅,2
293,耀华国际,5
294,颐和上院一期,1
295,御鹿华轩山畔雍庭,8
296,保利云禧东区,2
297,越秀星汇云城,3
298,桐林别墅,3
299,金泉山庄,3
300,富业苑云岭雅筑,1
301,珠江岭南苑,1
302,东方小区,1
303,柯子岭,2
304,京华雅居,4
305,怡桂苑,3
306,华兴苑,2
307,民航小区绿化小区,3
308,民航小区南云西街,3
309,玻璃厂宿舍,2
310,白云山制药厂后山宿舍,2
311,聚景雅居,3
312,广播设备厂宿舍,1
313,民航小区云霄街,1
314,机场路,1
315,紫竹苑(同德围),3
316,利都大厦,1
317,松南小区,1
318,广信金兰花园,2
319,南湖山庄,1
320,松南路松南宿舍,1
321,翠景园,1
322,云映阁,2
323,景安街1-16号宿舍,7
324,岭南新世界映悦园,5
325,翠庭雅轩,5
326,大基路390-400号宿舍（双号）,2
327,新苑大厦,1
328,汇怡苑,2
329,地质工程公司宿舍,2
330,新新花园,1
331,白云山中药厂宿舍,1
332,富力碧涛湾,2
333,走马岗海关大院,1
334,景观苑,2
335,汉苑大厦,1
336,兴云路,1
337,矿泉北街5号大院,1
338,政民路,2
339,景云路,6
340,紫来居,2
341,祥华阁,2
342,方園,2
343,逸景居,2
344,云苑大厦,1
345,富悦花苑,4
346,大金钟横路云泉居,3
347,广州公路养护宿舍,2
348,民航小区康寿街,2
349,春晖苑(白云),3
350,景云居,3
351,清华居,3
352,农工商宿舍,1
353,竹园小区(白云),2
354,岗贝路101号-123号宿舍(单号),3
355,松溪花园,1
356,景泰花园,2
357,竹韵山庄,1
358,松北水厂宿舍,1
359,佳晟楼,1
360,银通花园,1
361,富多来花园二区,1
362,华德大厦,2
363,远景工商局宿舍,2
364,外语外贸学院,2
365,尚境雅筑,1
366,邮电局宿舍,1
367,乐嘉路,1
368,潭村医药公司宿舍,1
369,君立国际公寓,2
370,绿地时代云都汇,1
371,百信广场,2
372,齐富阁,1
373,华宇苑,1
374,华诺思云尚,2
375,雅图阁,2
376,方圆白云时光,2
377,建南大厦,1
378,交通大院,1
379,保利西子湾,1
380,百事佳新村B区,1
381,武警指挥学院宿舍,1
382,穗和家园,1
383,翰林国际,18
384,方圆明月山溪,177
385,雅居乐小院流溪,219
