合一国际 南向 三房有主套 漂亮装修  中空大厅,合一国际,同和,3室1厅 ,69.16, 南 , 精装 ,18,2006, 塔楼,44, 9个月以前发布,3380000,"48,873元/平",近地铁 VR房源 房本满两年 随时看房 
全新装修五房，两层复式。视线开阔不压抑,富力城南区,夏茅,5室1厅 ,90.84, 西南 , 精装 ,17,2007, 塔楼,4, 3个月以前发布,3650000,"40,181元/平",VR房源 房本满五年 随时看房 
云山诗意 方正大三房 四开间南向 带露台 安静 望园林,云山诗意,黄边,3室2厅 ,125.77, 南 , 精装 ,15,2009, 塔楼,5, 2个月以前发布,5250000,"41,743元/平",近地铁 VR看装修 房本满五年 随时看房 
满5年税少，东南采光通风好 产权清晰无抵押，楼层好,嘉华苑,机场路,1室1厅 ,40.79, 南 东南 , 简装 ,9,1995, 塔楼,0,16,800000,"19,613元/平",VR看装修 房本满五年 随时看房 
花园小区 电梯一房一厅 厅出阳台通风采光,云天翠庭,机场路,1室1厅 ,48.6, 北 , 简装 ,15,2004, 塔楼,2,11,1580000,"32,511元/平",VR房源 房本满五年 随时看房 
嘉云府 高层 南向 南北对流 方正实用,新世界嘉云府,嘉禾望岗,3室2厅 ,104.67, 南 , 精装 ,11,2008, 板楼,24,15,5680000,"54,266元/平",VR看装修 房本满两年 随时看房 
户型方正 采光通风好 交通便利 配套成熟,远景新苑,机场路,1室0厅 ,31.33, 北 , 其他 ,9,1998, 塔楼,1,8,680000,"21,705元/平",VR看装修 房本满五年 随时看房 
泽德花园 精装两房 证满五年免重税,泽德花苑,同德围,2室1厅 ,58.05, 南 , 简装 ,9,1998, 塔楼,4,11,1180000,"20,328元/平",近地铁 VR看装修 房本满五年 随时看房 
同和地铁口 电梯房 91%得房率 户型格局好 满五年,云和花园,同和,3室1厅 ,76.06, 西南 , 简装 ,9,2005, 塔楼,2,12,2170000,"28,531元/平",近地铁 VR看装修 房本满五年 随时看房 
格局方正，采光通风很好，平层电梯，高楼层，单边位,广园云苑新村,景泰,1室1厅 ,30.68, 东 , 简装 ,9,1999, 塔楼,4,11,830000,"27,054元/平",VR看装修 房本满五年 随时看房 
2008年的小区 云翠轩 低密度南向大三房 证满五年唯一,云翠轩,新市,3室1厅 ,102.13, 南 , 简装 ,8,2008, 塔楼,1,14,3150000,"30,844元/平",VR房源 房本满五年 
飞鹅新村 2室1厅 南,飞鹅新村,桂花岗,2室1厅 ,48.89, 南 , 简装 ,7,1995, 塔楼,1,4,1200000,"24,545元/平",VR看装修 房本满五年 
合益小区 格局方正 南北通透 三房 精装修 满五年唯一,合益街31号大院,机场路,3室1厅 ,66.35, 南 北 , 精装 ,9,1995, 塔楼,2,11,1500000,"22,608元/平",VR房源 房本满五年 
此房满五，看房方便，户型方正，采光好,富力半岛花园,罗冲围,2室1厅 ,64.57, 南 北 , 精装 ,26,2005, 塔楼,1,4,2300000,"35,621元/平",近地铁 VR看装修 房本满五年 
富力半岛花园 精装电梯3房 格局方正实用  过五唯一,富力半岛花园,罗冲围,3室1厅 ,71.17, 西北 , 精装 ,18,2002, 塔楼,2,14,2550000,"35,830元/平",VR看装修 房本满五年 
岭南新世界 高层安静望花园 视野景观好 满五,岭南新世界,嘉禾望岗,3室1厅 ,92.52, 东北 , 精装 ,16,2006, 塔楼,1,26,4350000,"47,017元/平",VR看装修 房本满五年 随时看房 
泽德花苑低层两房，户型方正采光好。业主好有诚意,泽德花苑,同德围,2室1厅 ,53.32, 西 , 简装 ,9,1998, 塔楼,5,21,1280000,"24,007元/平",近地铁 VR房源 房本满五年 随时看房 
东方明珠花园 1室1厅 南,东方明珠花园,白云大道南,1室1厅 ,40.23, 南 , 简装 ,7,1999, 塔楼,0,25,1600000,"39,772元/平",近地铁 VR房源 房本满五年 随时看房 
东南向看花园    中间楼层  安静不吵,保利西海岸星海花园,金沙洲,3室2厅 ,99.62, 东南 , 精装 ,18,2010, 塔楼,0,23,3390000,"34,030元/平",VR看装修 房本满五年 随时看房 
满五年。东向看花园，大住套间随时可看。,岭南新世界,嘉禾望岗,3室2厅 ,116.23, 东 , 其他 ,16,2005, 塔楼,0,21,5300000,"45,600元/平",近地铁 VR房源 房本满五年 随时看房 
"高层南向,过五唯一,有匙方便看房,业主诚心,等有缘的你",中海金沙馨园一期,金沙洲,3室2厅 ,97.11, 南 , 简装 ,11,2008, 板楼,10,16,2880000,"29,658元/平",VR看装修 房本满五年 随时看房 
雅怡花园 满五 电梯两房 独立小区 安静 绿化好,雅怡花园,同德围,2室1厅 ,39.66, 南 , 简装 ,9,1998, 板楼,4,17,1060000,"26,728元/平",近地铁 VR房源 房本满五年 随时看房 
户型方正 南向看泳池 安静不吵 采光充足,金湖雅苑,沙太北,2室2厅 ,56.74, 南 , 简装 ,9,1999, 塔楼,0,28,1450000,"25,556元/平",VR看装修 房本满五年 随时看房 
民航小区 格局方正 温馨舒适  小区管理,民航小区向云新街,白云大道南,2室1厅 ,71.62, 东南 , 精装 ,7,1995, 塔楼,0,29,2620000,"36,582元/平",近地铁 VR看装修 房本满五年 
怡心苑，距离上步地铁站578米，电梯正在使用，南向2房,怡心苑,同德围,2室1厅 ,72.07, 南 , 简装 ,9,2000, 塔楼,2,21,1800000,"24,976元/平",近地铁 VR房源 房本满五年 
云泉居 商品房 精装修 安静望花园,云泉居,江夏,3室2厅 ,82.5, 东南 , 精装 ,9,1999, 塔楼,3,20,2400000,"29,091元/平",近地铁 VR看装修 房本满五年 
电梯房，南向三房，楼层好视野宽阔采光好,利源大厦,景泰,3室1厅 ,70.45, 南 , 其他 ,9,1995, 塔楼,3,19,1750000,"24,841元/平",近地铁 VR房源 房本满五年 
东向2房，满五无抵押，产权清晰，小区绿化好,盈翠华庭,景泰,2室1厅 ,56.36, 东 , 简装 ,7,2001, 塔楼,3,26,2100000,"37,261元/平",VR看装修 房本满五年 
花园小区 东南向三房 满五年税费少,晓翠苑,机场路,3室1厅 ,75.64, 西南 , 精装 ,8,1999, 塔楼,3,26,1690000,"22,343元/平",VR看装修 房本满五年 
岭南B区东向2房，精装修，拎包入住，包家私家具,岭南新世界,嘉禾望岗,2室1厅 ,75.48, 东 , 精装 ,15,2001, 塔楼,6,30,3050000,"40,409元/平",近地铁 VR房源 房本满两年 
房子是大型小区，户型方正大，主套的三房,百荣园,机场路,3室1厅 ,113.21, 东北 , 简装 ,7,2000, 塔楼,6,17,2500000,"22,083元/平",VR房源 房本满五年 
麒麟东街小区，3+1户型，套内面积103平方，实用房型,麒麟东街宿舍(麒麟东街53-77号单号),沙太北,4室2厅 ,115.34, 西 , 精装 ,9,1999, 塔楼,1,28,3000000,"26,011元/平",VR看装修 房本满五年 
诚心放卖 高层南向大三房 满五唯一税费少,富力桃园,罗冲围,3室2厅 ,119.45, 南 , 精装 ,32,2004, 塔楼,2,27,4400000,"36,836元/平",VR房源 房本满五年 
白云骏景高层采光佳视野开阔，过五年无按揭自住保养好,白云骏景家园,黄石,4室2厅 ,128.98, 南 , 精装 ,12,2003, 塔楼,1,20,6200000,"48,070元/平",VR房源 房本满五年 
岭南新世界 证过五年 全新精装修 可拎包入住,岭南新世界,嘉禾望岗,3室2厅 ,96.78, 东北 , 精装 ,18,2008, 塔楼,1,25,5200000,"53,731元/平",VR看装修 房本满五年 
云裳丽影中间单位满五唯一税费少 业主急卖,云裳丽影,同和,3室2厅 ,105.61, 南 , 精装 ,20,2010, 塔楼,20, 4个月以前发布,5350000,"50,659元/平",近地铁 VR看装修 房本满五年 
