此小区位于广州后花园之都从化流溪河。,翰林国际,旧城区,4室2厅 ,118.34, 南 , 精装 ,11,2018, 板楼,14, 10个月以前发布,1080000.0,"9,127元/平",VR看装修 房本满两年 随时看房 
景观 漂亮  保养新净  带装修 南北通明户型正,方圆明月山溪,温泉镇,2室2厅 ,85.0, 南 , 精装 ,18,2014, 塔楼,25, 11个月以前发布,650000.0,"7,648元/平",VR看装修 房本满两年 随时看房 
多18方连廊使用   雅居乐物管,雅居乐小院流溪,赤草,3室2厅 ,117.88, 南 , 毛坯 ,16,2015, 塔楼,1, 2个月以前发布,1180000.0,"10,011元/平",VR看装修 房本满五年 随时看房 
东方夏湾拿第3期4层别墅，南北通透,东方夏湾拿,太平镇,5室3厅 ,274.74, 南 北 , 简装 ,3, 板塔结合 , 独栋别墅 ,29, 5个月以前发布,3700000.0,"13,468元/平",VR房源 房本满五年 随时看房 
东南向，采光充足，楼层好，视野很开阔，无遮挡,大城云山,太平镇,3室2厅 ,95.98, 南 , 毛坯 ,22,2018, 塔楼,182, 一年前发布,910000.0,"9,482元/平",近地铁 VR看装修 房本满两年 随时看房 
雅居乐滨江花园 两房自带70方大露台 业主急卖,雅居乐滨江花园,江浦街,2室2厅 ,82.94, 北 , 简装 ,11,2007, 塔楼,32, 11个月以前发布,1270000.0,"15,313元/平",近地铁 VR房源 房本满五年 随时看房 
巴厘天地 精装三房 全新 生活便利 楼层好,人盛巴厘天地,神岗镇,3室2厅 ,100.67, 北 , 精装 ,18,2018, 塔楼,0, 2个月以前发布,900000.0,"8,941元/平",VR看装修 房本满两年 随时看房 
急急急  时代配套  地铁盘 电梯房,大城云山,太平镇,3室2厅 ,121.3, 东南 , 毛坯 ,22,2016, 塔楼,34, 4个月以前发布,1110000.0,"9,151元/平",近地铁 VR看装修 房本满两年 随时看房 
：房户型方正实用，对称布局，南向望花园，,人盛城市假日花园,河滨北路,3室2厅 ,135.54, 东南 , 精装 ,12,2007, 塔楼,0,20,1500000.0,"11,067元/平",VR看装修 房本满五年 
景色优美，望流溪河，户型方正，空气良好,紫泉流溪湾,太平镇,4室2厅 ,147.73, 东南 , 其他 ,17,2018, 板楼,6, 4个月以前发布,1760000.0,"11,914元/平",VR看装修 房本满两年 随时看房 
小区绿化好 生活配套齐全 大三房 采光好,人盛巴厘天地,神岗镇,3室2厅 ,123.73, 南 北 , 毛坯 ,17,2012, 塔楼,7, 5个月以前发布,1000000.0,"8,083元/平",VR房源 房本满五年 随时看房 
雅居乐小院流溪 3室2厅 南,雅居乐小院流溪,赤草,3室2厅 ,93.8, 南 , 其他 ,16,2015, 塔楼,0, 5个月以前发布,900000.0,"9,595元/平",VR看装修 房本满五年 随时看房 
全新毛坯别墅，6米中空客厅，连体中间位，南入门,东方夏湾拿,太平镇,4室2厅 ,268.59, 南 北 , 毛坯 ,3, 板塔结合 , 独栋别墅 ,12, 6个月以前发布,3800000.0,"14,148元/平",VR房源 房本满两年 随时看房 
巴厘天地小区中楼层，居住舒适户型方正实用,人盛巴厘天地,神岗镇,3室2厅 ,101.56, 东南 , 毛坯 ,17,2012, 塔楼,0, 2个月以前发布,880000.0,"8,665元/平",VR看装修 房本满两年 随时看房 
紫泉翠荔嘉园  大小区  管理好 业主急卖,紫泉翠荔嘉园,太平镇,4室1厅 ,124.62, 东南 , 毛坯 ,6,2007, 板楼,9, 9个月以前发布,1108000.0,"8,892元/平",VR看装修 房本满五年 随时看房 
南向望荔枝林。稀有小户型。标准格局,紫泉翠荔嘉园,太平镇,1室1厅 ,48.22, 西南 , 毛坯 ,18,2010, 塔楼,20, 一年前发布,610000.0,"12,651元/平",VR看装修 房本满五年 随时看房 
精装三房，户型方正，居住舒适。,人盛巴厘天地,神岗镇,3室2厅 ,100.67, 东南 , 简装 ,18,2018, 塔楼,23, 一年前发布,865000.0,"8,593元/平",VR房源 房本满两年 随时看房 
空中电梯，户型方正，业主诚心放卖，看中能谈谈。,人盛巴厘天地,神岗镇,3室2厅 ,132.79, 东南 , 毛坯 ,17,2011, 塔楼,1, 2个月以前发布,1080000.0,"8,134元/平",VR看装修 房本满两年 随时看房 
希有房源，格局方正，实用...,丰盈雅居,太平镇,3室1厅 ,101.98, 南 , 毛坯 ,9,2014, 塔楼,30, 一年前发布,900000.0,"8,826元/平",VR看装修 房本满五年 随时看房 
巴厘天地2房，带装修，证过二，未住过，楼层好,人盛巴厘天地,神岗镇,2室2厅 ,74.75, 西北 , 简装 ,18,2018, 塔楼,18, 8个月以前发布,740000.0,"9,900元/平",VR房源 房本满两年 随时看房 
紫泉翠荔嘉园复式板楼，环境优美！,紫泉翠荔嘉园,太平镇,4室2厅 ,138.0, 南 北 , 简装 ,18,2010, 塔楼,3,19,1490000.0,"10,798元/平",VR看装修 房本满五年 随时看房 
巴厘天地三房两厅，位置靓，业主诚意卖,人盛巴厘天地,神岗镇,3室2厅 ,104.93, 南 , 毛坯 ,17,2011, 塔楼,0,13,790000.0,"7,529元/平",VR看装修 房本满五年 随时看房 
巴厘天地 东南向 三房两卫 满五 位置安静 中楼层,人盛巴厘天地,神岗镇,3室2厅 ,125.5, 南 北 , 毛坯 ,17,2012, 塔楼,0,9,1150000.0,"9,164元/平",VR房源 房本满五年 随时看房 
钱隆天誉 中高层南向三房 视线无遮挡,云星钱隆天誉,太平镇,3室2厅 ,94.0, 南 , 毛坯 ,24,2017, 塔楼,0,15,960000.0,"10,213元/平",VR看装修 房本满两年 随时看房 
温馨家园 3室2厅 东 北,温馨家园,新城片区,3室2厅 ,118.02, 东 北 , 精装 ,9,2005, 塔楼,0,8,1400000.0,"11,863元/平",VR房源 房本满五年 
巴厘天地，环境优美，生活便利，交通便利,人盛巴厘天地,神岗镇,3室1厅 ,99.11, 南 , 毛坯 ,17,2012, 塔楼,0,23,870000.0,"8,779元/平",VR房源 房本满五年 随时看房 
珠江壹城国际城双拼三层别墅 大花园,珠江壹城,神岗镇,5室2厅 ,354.0, 南 , 简装 ,2,2011, 板塔结合,16, 一年前发布,3800000.0,"10,735元/平",VR房源 房本满两年 随时看房 
