低密度舒适小区 优质配套 业主很诚意,光大花园中海锦榕湾,工业大道北,3室2厅 ,109.59, 南 , 简装 ,33,2010, 塔楼,1,7,8600000.0,"78,475元/平",VR看装修 房本满五年 随时看房 
泊雅湾 满五年 三房带主套 中层安静看花园,泊雅湾,滨江东,3室2厅 ,103.31, 西北 , 精装 ,18,2008, 塔楼,0,5,8900000.0,"86,149元/平",近地铁 VR看装修 房本满五年 
鹭江地铁大院，旺中带静，商品房框架结构，正规两房,船舶厂宿舍,新港西,2室1厅 ,49.47, 南 北 , 简装 ,6,1997, 塔楼,0,8,2000000.0,"40,429元/平",近地铁 VR看装修 房本满五年 随时看房 
华乐苑，精装2房，厅出阳台，望花园，安静不吵,华乐苑,新港西,2室2厅 ,47.23, 北 , 精装 ,9,1999, 塔楼,1,3,2000000.0,"42,346元/平",近地铁 VR看装修 房本满两年 随时看房 
富力*禧小区  南北对流  户型方正,富力千禧花园,中大,3室2厅 ,91.89, 南 , 简装 ,26,2002, 塔楼,3,20,6550000.0,"71,281元/平",VR房源 房本满五年 随时看房 
滨江东地铁口物业，近江边，带平台精装修三房，,东翠花园金麟台,东晓路,3室1厅 ,75.81, 东 , 精装 ,28,2003, 塔楼,2,17,4300000.0,"56,721元/平",VR看装修 房本满五年 随时看房 
一手业主 过五年 户型方正实用 楼层靓视野好 花园小区,保利花园(海珠),工业大道中,2室2厅 ,80.34, 西 , 简装 ,11,2000, 板楼,5,13,3750000.0,"46,677元/平",近地铁 VR看装修 房本满五年 随时看房 
杏坛小区 2室1厅 东南,杏坛小区,宝岗,2室1厅 ,65.01, 东南 , 简装 ,9,2000, 塔楼,0,14,2920000.0,"44,917元/平",近地铁 VR看装修 房本满五年 随时看房 
保利品牌物业  东南向复式 望花园 独立天台,保利百合花园,江燕路,4室2厅 ,141.47, 东南 , 简装 ,11,2004, 塔楼,4,12,7200000.0,"50,895元/平",近地铁 VR房源 房本满五年 随时看房 
少有南向望江单位，满五唯一无抵押，现添二宝置换,天鹅湾,工业大道北,2室2厅 ,68.35, 南 , 精装 ,31,2006, 塔楼,0,15,5280000.0,"77,250元/平",近地铁 VR看装修 房本满五年 随时看房 
江南花园三期 满五 南北对流 带50方平台 精装保养好,江南花园,宝岗,2室2厅 ,80.34, 南 北 , 精装 ,30,2012, 塔楼,2,8,4200000.0,"52,278元/平",VR看装修 房本满五年 随时看房 
凤安花园 2室1厅 南,凤安花园,工业大道北,2室1厅 ,50.69, 南 , 精装 ,9,1998, 塔楼,1,8,2000000.0,"39,456元/平",VR看装修 房本满五年 随时看房 
英豪花园 小三房南向 厅出阳台 视野开阔,英豪花园,东晓南,3室1厅 ,87.07, 南 , 简装 ,28,2005, 板楼,2,5,4500000.0,"51,683元/平",近地铁 VR看装修 房本满五年 
珠江帝景苑实用三房两卫，南北对流，满五唯一，费用低,珠江帝景苑,滨江东,3室2厅 ,100.84, 南 北 , 简装 ,20,2007, 塔楼,3,18,5510000.0,"54,593元/平",近地铁 VR房源 房本满五年 
次新房 楼层好 格局通透 保养新净 看广州塔 拎包入住,珠江帝景苑合生紫龙府,滨江东,4室2厅 ,147.01, 北 , 精装 ,30,2013, 塔楼,0,27,8030000.0,"54,593元/平",近地铁 VR房源 房本满五年 
