豪利花园，房子精装修，拎包入住，看房方便，欢迎咨询,豪利花园,镜湖大道,3室1厅 ,98.96, 南 , 精装 ,16,2014, 塔楼,2,28,1790000.0,"18,089元/平",VR房源 房本满两年 随时看房 
雅居乐热橙  精装三房 单边位 看花园中间,雅居乐万科热橙,花山镇,3室2厅 ,86.56, 北 , 简装 ,13,2018, 板楼,0,26,1180000.0,"13,633元/平",VR看装修 房本满两年 随时看房 
少年宫图书馆 雅居乐御宾府 单证四房精装修,雅居乐御宾府,新区,4室2厅 ,136.11, 东 , 精装 ,19,2009, 塔楼,1,18,3400000.0,"24,980元/平",近地铁 VR看装修 房本满五年 
中房典藏方正三房，中楼层视野优越，三阳台对流通风好,中房观湖国际,旧区,3室2厅 ,93.5, 北 , 精装 ,27,2012, 塔楼,0,25,1750000.0,"18,717元/平",VR房源 房本满五年 
地铁口近，锦砖外墙，业主换房急卖,西苑小区,铁路西,3室1厅 ,85.16, 北 东北 , 精装 ,8,1995, 塔楼,1,26,1050000.0,"12,330元/平",近地铁 VR看装修 房本满两年 
钻石豪庭 精装修 中层 南北对流 不靠路,钻石豪庭,新区,3室2厅 ,134.37, 南 北 , 精装 ,11,2005, 塔楼,0,20,2538000.0,"18,889元/平",近地铁 VR看装修 房本满五年 
南华时代城 3室2厅 南,南华时代城,铁路西,3室2厅 ,90.4, 南 , 精装 ,30,2010, 塔楼,1,22,1480000.0,"16,372元/平",VR看装修 房本满两年 
雅居乐二期，安静，远离马路，拎，包，入住复式。,雅居乐雍华廷二期,新区,4室2厅 ,159.57, 南 , 精装 ,12,2006, 塔楼,155, 一年前发布,3020000.0,"18,926元/平",近地铁 VR房源 房本满五年 
大运家园 地铁口物业 大3房双主套 南北对流 骏威,大运家园,新区,3室2厅 ,140.65, 南 , 其他 ,10,2009, 塔楼,1, 1个月以前发布,2680000.0,"19,055元/平",近地铁 VR看装修 房本满五年 
此房满五唯一 税费少 楼层好 视野开阔 格局方正实用,天马河壹号一期,铁路西,4室2厅 ,132.88, 南 北 , 精装 ,19,2009, 塔楼,9, 2个月以前发布,1800000.0,"13,547元/平",近地铁 VR看装修 房本满五年 
广州北地铁口，三代同堂复式东南向视野开阔，静装修,俊怡云山御居,铁路西,6室4厅 ,259.49, 东南 , 精装 ,18,2012, 塔楼,24, 4个月以前发布,2750000.0,"10,598元/平",近地铁 VR房源 房本满五年 
此房满五唯一，南北对流，格局方正，交通便利,富丽花园,铁路西,4室2厅 ,137.33, 南 , 简装 ,9,2001, 塔楼,16, 10个月以前发布,1120000.0,"8,156元/平",VR房源 房本满五年 
南向精装 保养新净 格局方正   采光充足,华景雅苑德维轩,秀全街,3室2厅 ,99.46, 南 , 精装 ,15,2016, 塔楼,0,27,1380000.0,"13,875元/平",VR看装修 房本满两年 
城区楼盘，视野开阔，业主急卖。,凯旋门,新区,3室1厅 ,127.92, 北 , 精装 ,20,2010, 塔楼,1,17,2788000.0,"21,795元/平",VR房源 房本满两年 
轩逸荟，御华园狮城国际旁 精装3房 格局方正,智烨山水豪庭,狮岭镇,3室1厅 ,87.37, 西南 , 精装 ,18,2013, 塔楼,1,11,990000.0,"11,332元/平",VR房源 房本满五年 
南航碧花园，有电梯，望花园，通风采光好，看房方便，,南航碧花园D区,狮岭镇,2室2厅 ,106.39, 北 , 精装 ,11,2008, 塔楼,0,9,890000.0,"8,366元/平",VR看装修 房本满五年 
学府花园 刚需小三房 视野开阔无遮挡,云峰学府花园,秀全街,3室2厅 ,87.58, 北 , 精装 ,18,2011, 塔楼,0,5,1150000.0,"13,131元/平",VR看装修 房本满五年 
雅居乐锦城五期 电梯三房带装修,雅居乐锦城花冠集,秀全街,3室2厅 ,91.84, 北 , 其他 ,32,2008, 塔楼,0,15,1600000.0,"17,422元/平",VR看装修 房本满五年 
南向中高层，好位置，保养好，视野开阔，户型方正,富力金港城东区,花东镇,3室2厅 ,93.27, 南 , 其他 ,18,2013, 塔楼,0,15,1350000.0,"14,475元/平",VR看装修 房本满五年 
