双地铁 临江物业 户型方正 装修新净,悦涛雅苑,黄埔区府,2室2厅 ,67.36, 北 , 精装 ,13,2000, 塔楼,0,6,2820000.0,"41,865元/平",近地铁 VR房源 房本满五年 随时看房 
怡港花园 2室2厅 东南,怡港花园,黄埔区府,2室2厅 ,75.82, 东南 , 其他 ,9,1999, 塔楼,0,6,2550000.0,"33,509元/平",近地铁 VR房源 房本满五年 随时看房 
佳兆业城市广场 4室2厅 北,佳兆业城市广场,沙村,4室2厅 ,91.53, 北 , 精装 ,37,2019, 塔楼,0,22,3100000.0,"33,869元/平",VR房源 房本满两年 随时看房 
精装电梯方正小三房 南边通透 配套完善 证满五年,荔景园(黄埔区),黄埔区府,3室1厅 ,64.49, 南 北 , 精装 ,9,1999, 塔楼,1,10,2400000.0,"37,216元/平",近地铁 VR看装修 房本满五年 随时看房 
南向望花园 ，采光无遮挡， 中高楼层 保养好..,万科金色梦想,香雪,3室2厅 ,95.73, 南 , 精装 ,28,2015, 板塔结合,0,9,3480000.0,"36,353元/平",VR看装修 房本满五年 随时看房 
时代天韵二期中高层房源，业主诚心放卖，户型优质,时代天韵,知识城,3室2厅 ,87.29, 北 , 精装 ,31,2018, 塔楼,0,9,2550000.0,"29,213元/平",近地铁 VR看装修 房本满两年 随时看房 
乙烯大院  好楼层  实惠两房  地铁五号线,乙烯大院,黄埔区府,2室1厅 ,76.75, 南 北 , 简装 ,8,1998, 塔楼,1,8,2450000.0,"31,922元/平",VR房源 房本满两年 随时看房 
此房安静舒适 采光通风好 看房方便 望花园,万科里享家,科学城,3室2厅 ,78.54, 南 , 精装 ,34,2017, 塔楼,8,10,1580000.0,"20,118元/平",VR房源 房本满两年 随时看房 
万科里享家 3室2厅 东南 南,万科里享家,科学城,3室2厅 ,85.38, 东南 南 , 其他 ,34,2017, 塔楼,2,8,1850000.0,"21,668元/平",VR看装修 房本满两年 
实地常春藤 2室1厅 北,实地常春藤,科学城,2室1厅 ,75.14, 北 , 精装 ,32,2018, 塔楼,2,7,1800000.0,"23,956元/平",VR看装修 房本满两年 
常春藤五房，户型方正，采光通风好。,实地常春藤,科学城,5室2厅 ,140.26, 南 , 精装 ,32,2018, 塔楼,0,7,3400000.0,"24,241元/平",VR看装修 房本满两年 
房源位于保利罗兰安静楼栋，好楼层，采光通风效果好。,保利罗兰国际,科学城,3室2厅 ,102.08, 南 , 精装 ,33,2017, 塔楼,5,29,3190000.0,"31,161元/平",VR看装修 房本满两年 随时看房 
实地常春藤 安静大三房 全新未入住 诚心放卖 随时可看,实地常春藤,科学城,3室2厅 ,97.05, 北 , 精装 ,29,2017, 塔楼,5,19,2020000.0,"20,815元/平",VR看装修 房本满两年 随时看房 
幸福誉二期房子，2房2厅1卫。。,万科幸福誉,知识城,2室2厅 ,72.15, 东 , 精装 ,34,2014, 板塔结合,5,23,2090000.0,"28,968元/平",近地铁 VR看装修 房本满两年 随时看房 
挂牌435     南北对流3+1户型  视野开阔 采光充足,万科城市花园,文冲,4室1厅 ,91.53, 南 , 精装 ,18,2003, 塔楼,2,16,3770000.0,"41,176元/平",近地铁 VR房源 房本满五年 随时看房 
万科新里程  品质小区 近地铁 装修不错 看房方便,万科新里程,科学城,3室2厅 ,88.81, 东北 , 精装 ,25,2009, 塔楼,1,21,2990000.0,"33,601元/平",近地铁 VR看装修 房本满两年 随时看房 
佳兆业城市广场精装小复式满两年省税费，业主诚心出*,佳兆业城市广场,沙村,4室2厅 ,88.14, 北 , 精装 ,31,2017, 塔楼,45, 一年前发布,3100000.0,"35,172元/平",VR房源 房本满两年 随时看房 
全新未住过人，中高楼层，望小区花园,佳兆业城市广场,沙村,4室2厅 ,90.85, 西北 , 精装 ,37,2017, 塔楼,3, 7个月以前发布,3200000.0,"35,223元/平",VR房源 房本满两年 随时看房 
双拼别墅、可安装电梯、光线充足,万科城,科学城,5室1厅 ,173.0, 东 西 , 其他 ,3,2008, 板塔结合,4, 1个月以前发布,5710000.0,"33,005元/平",近地铁 VR房源 房本满五年 随时看房 
佳兆业南向望花园南北对流大四房,佳兆业城市广场,沙村,4室2厅 ,126.0, 南 北 , 精装 ,37,2020, 塔楼,17, 7个月以前发布,4550000.0,"36,112元/平",VR房源 房本满两年 随时看房 
万科城市花园 方正四房 中高层 满五 采光充足,万科城市花园,文冲,4室1厅 ,160.17, 南 北 , 精装 ,18,2003, 塔楼,32, 6个月以前发布,5730000.0,"35,775元/平",近地铁 VR房源 房本满五年 随时看房 
