西门口版块 中层精装三房 东南朝向 拎包入住,光复北路,龙津,3室1厅 ,73.38, 东 南 , 精装 ,10,1995, 板楼,0,5,2300000.0,"31,344元/平",VR看装修 房本满两年 随时看房 
地铁300米，温馨住家两房，东南向，适宜刚需，老人家,红棉苑南区,花地湾,2室1厅 ,59.26, 东南 , 其他 ,9,2000, 塔楼,1,6,1780000.0,"30,038元/平",近地铁 VR房源 房本满五年 随时看房 
"双卫双阳台南北对流,精装修,业主诚意卖",华发荔湾荟,滘口,4室2厅 ,135.85, 西南 , 精装 ,20,2016, 塔楼,2,12,5550000.0,"40,854元/平",VR看装修 房本满两年 
富力路 2室1厅 南,富力路,南岸路,2室1厅 ,74.16, 南 , 简装 ,9,1995, 板塔结合,1,6,1720000.0,"23,194元/平",近地铁 VR看装修 房本满五年 随时看房 
恒宝华庭 2室1厅 东南,恒宝华庭,西关,2室1厅 ,65.28, 东南 , 简装 ,31,2000, 塔楼,0,12,3700000.0,"56,679元/平",近地铁 VR房源 房本满五年 随时看房 
西门口广场高层望花园 小三房 两厅 东北向 采光好,西门口广场,西华路,3室2厅 ,75.65, 东北 , 精装 ,25,2008, 塔楼,0,9,4800000.0,"63,451元/平",VR房源 房本满五年 随时看房 
富力环市西苑 小区环境好 精装修 大两房 随时看房,富力环市西苑,西村,2室1厅 ,86.21, 南 , 精装 ,15,2000, 塔楼,1,17,2950000.0,"34,219元/平",近地铁 VR房源 房本满两年 随时看房 
荔湾路原装电梯   精装修三房  两面单边  视野开阔,荔怡中心,周门,3室1厅 ,98.6, 南 西 , 精装 ,20,2001, 塔楼,1,23,3800000.0,"38,540元/平",VR看装修 房本满五年 随时看房 
电梯满五唯一 东南户型  通风采风好 439米即可到地铁,富力新居,南岸路,2室1厅 ,51.36, 东南 , 简装 ,9,1993, 塔楼,0,26,1750000.0,"34,074元/平",近地铁 VR看装修 房本满五年 随时看房 
东向望花园 证满5年唯一 通风采光佳,鸿图苑,汾水,2室1厅 ,52.88, 东 南 , 简装 ,9,1995, 塔楼,4,24,1210000.0,"22,882元/平",近地铁 VR看装修 房本满五年 随时看房 
华侨新村 流花湖畔 小区环境好 南向两房 安静舒适,流花华侨新村,流花站前,2室1厅 ,67.02, 南 , 其他 ,8,1998, 塔楼,3,29,2700000.0,"40,287元/平",VR房源 房本满五年 随时看房 
望空中花园 满五年唯一无抵押 看房方便 安静不吵,逸翠湾,黄沙,3室1厅 ,104.88, 西南 西北 , 简装 ,36,2009, 塔楼,1,16,5600000.0,"53,395元/平",近地铁 VR看装修 房本满五年 随时看房 
龙湾广场 滘口5号线 毛坯房 大三房望江景 产权清晰,龙湾广场,滘口,3室2厅 ,166.35, 东北 , 毛坯 ,15,1999, 塔楼,96, 一年前发布,3520000.0,"21,161元/平",近地铁 VR房源 房本满五年 随时看房 
精装修三房 大院管理  实用高,荔湾路,陈家祠,3室1厅 ,63.39, 南 北 , 精装 ,9,1995, 塔楼,0,14,2300000.0,"36,284元/平",VR房源 房本满五年 随时看房 
珠岛花园 加装电梯一房 保养好 有匙即看,珠岛花园,大坦沙,1室1厅 ,34.95, 南 , 精装 ,9,1995, 板塔结合,0,10,1180000.0,"33,763元/平",VR看装修 房本满五年 随时看房 
2000年马赛克 培正学府 步行100米如意坊站 大院管理,黄沙大道,黄沙,2室1厅 ,58.44, 东南 , 简装 ,7,1994, 塔楼,0,8,1850000.0,"31,657元/平",近地铁 VR房源 房本满五年 随时看房 
满五年 免重税  采光通风好 可开发天台花园  使用率高,金花小区,西华路,1室1厅 ,43.19, 东 北 , 简装 ,9,2003, 塔楼,2,8,1280000.0,"29,637元/平",VR看装修 房本满两年 随时看房 
