南北通透双阳台！一线瞰湖！看房方便,南沙奥园,南沙湾,3室1厅 ,134.16, 南 北 , 精装 ,11,2012, 塔楼,0,5,2050000.0,"15,281元/平",VR房源 房本满两年 随时看房 
"南北对流，花园中间，物业好,居住安心,满五,随时看房",万科府前一号,南沙区府,3室1厅 ,93.52, 北 , 精装 ,18,2014, 板楼,2,12,2300000.0,"24,594元/平",VR看装修 房本满五年 随时看房 
丽景湾大户型，197方，无遮挡景色好。,阳光城丽景湾,进港大道,5室1厅 ,197.55, 南 , 毛坯 ,28,2017, 塔楼,1,27,3380000.0,"17,110元/平",VR房源 房本满两年 随时看房 
南沙自贸区，金洲商圈，地铁口。,南沙大都汇,金洲,3室1厅 ,67.0, 北 , 简装 ,22,2015, 塔楼,1,11,700000.0,"10,448元/平",房本满两年 
环形大阳台 四房两卫 随时可以看房,南沙玫瑰花园,南沙湾,4室2厅 ,104.7, 南 , 精装 ,8,2011, 塔楼,4,30,1460000.0,"13,945元/平",近地铁 VR房源 房本满两年 随时看房 
带100方大园林。真正做到园林比房子大,南沙碧桂园,金洲,2室1厅 ,82.49, 北 , 精装 ,6,2007, 板塔结合,2,24,2000000.0,"24,246元/平",VR看装修 房本满两年 随时看房 
时代云图通透户型 经典方正  横厅设计    成熟配套,广州时代云图,金洲,3室2厅 ,98.81, 南 北 , 精装 ,31,2016, 塔楼,0,12,2650000.0,"26,820元/平",VR看装修 房本满五年 
东南向望凤凰湖 无遮挡 采光好 配套成熟,叠翠峰,南沙区府,3室2厅 ,103.45, 东南 , 精装 ,17,2017, 板楼,6,12,2800000.0,"27,067元/平",近地铁 VR看装修 房本满两年 
碧桂园 天玺湾三房两卫一线海景房,碧桂园天玺湾,进港大道,3室2厅 ,101.65, 北 , 精装 ,30,2014, 板塔结合,29, 一年前发布,2280000.0,"22,430元/平",VR看装修 房本满五年 随时看房 
阳光城丽景湾 2室2厅 北,阳光城丽景湾,进港大道,2室2厅 ,85.0, 北 , 毛坯 ,32,2017, 板楼,1, 6个月以前发布,1515000.0,"17,824元/平",VR看装修 房本满两年 随时看房 
近蕉门地铁南沙区府配套齐蕉门河景观靓满五年税费少,中惠璧珑湾,南沙区府,3室1厅 ,108.12, 南 , 精装 ,26,2012, 板塔结合,12, 2个月以前发布,2450000.0,"22,661元/平",近地铁 VR房源 房本满五年 随时看房 
南北对流空气好，养生大平层，就是好。,南沙奥园,南沙湾,8室3厅 ,355.62, 东 南 西 , 精装 ,16,2012, 塔楼,24, 一年前发布,4500000.0,"12,654元/平",近地铁 VR房源 房本满五年 随时看房 
满五唯一无增值税滨海珺城双阳台精装三房两卫近地铁,越秀滨海珺城,明珠湾,3室1厅 ,119.32, 南 北 , 精装 ,23,2011, 塔楼,7, 2个月以前发布,2900000.0,"24,305元/平",近地铁 VR看装修 房本满两年 随时看房 
毛坯大三房，中楼层南北对流，没遮挡视野采光好,凯德新玥,榄核镇,3室1厅 ,97.27, 南 , 毛坯 ,32,2015, 塔楼,26, 11个月以前发布,1380000.0,"14,188元/平",VR看装修 房本满两年 随时看房 
碧桂园天玺湾 全新未住过 满五无欠款 看房有钥匙,碧桂园天玺湾,进港大道,3室2厅 ,102.42, 东北 , 精装 ,30,2014, 板塔结合,4, 1个月以前发布,2220000.0,"21,676元/平",VR房源 房本满五年 随时看房 
碧桂园豪庭 满五唯一 税费少 高层南向3房 采光好,南沙碧桂园豪庭,金洲,3室2厅 ,107.55, 南 , 精装 ,18,2012, 塔楼,3, 3个月以前发布,2200000.0,"20,456元/平",近地铁 VR看装修 房本满五年 随时看房 
南沙奥园三房，户型好，楼层佳，诚意放卖,南沙奥园,南沙湾,3室1厅 ,127.16, 东 南 西 , 精装 ,10,2012, 塔楼,1, 一年前发布,1900000.0,"14,942元/平",近地铁 VR看装修 房本满五年 随时看房 
业主急出，满五唯一税费低，看中可谈,南沙碧桂园,金洲,5室2厅 ,110.12, 北 , 精装 ,18,2007, 板塔结合,86, 2个月以前发布,2300000.0,"20,887元/平",VR房源 房本满五年 随时看房 
精装大三房，中间楼层无遮挡，过5唯一税费少。,越秀滨海珺城,明珠湾,3室2厅 ,125.54, 南 , 精装 ,23,2014, 塔楼,11, 4个月以前发布,3480000.0,"27,721元/平",近地铁 VR看装修 房本满五年 随时看房 
南向全屋定制家具，拎包入住，含车位，满五唯一诚心卖,时代长岛,进港大道,2室1厅 ,90.85, 南 , 精装 ,29,2016, 塔楼,0,29,1900000.0,"20,914元/平",VR看装修 房本满五年 随时看房 
南沙碧桂园全新精装大四房，南北对流小高层洋房,南沙碧桂园,金洲,4室1厅 ,152.83, 南 北 , 精装 ,11,2007, 板塔结合,5,21,2410000.0,"15,770元/平",VR看装修 房本满两年 
南向3房 装修保养 可拎包入住,万科府前一号,南沙区府,3室2厅 ,90.66, 东南 , 精装 ,28,2014, 板楼,2,21,2250000.0,"24,819元/平",VR看装修 房本满五年 
碧桂园蜜柚保养好小区新户型方正楼层好格局好刚需必看,碧桂园蜜柚,进港大道,2室2厅 ,69.97, 西北 , 精装 ,23,2018, 塔楼,0,28,1520000.0,"21,724元/平",VR看装修 房本满两年 
海力花园 2室1厅 南 北,海力花园,进港大道,2室1厅 ,63.41, 南 北 , 精装 ,12,2012, 塔楼,0,10,1250000.0,"19,713元/平",VR房源 房本满五年 
南沙涉外公馆 2室1厅 东北,南沙涉外公馆,进港大道,2室1厅 ,52.75, 东北 , 其他 ,19,2015, 塔楼,0,9,600000.0,"11,375元/平",房本满两年 
户型方正三房两厅 南北对流 满五唯一 高层视野好,广州时代云图,金洲,3室2厅 ,98.81, 南 , 精装 ,31,2016, 塔楼,42, 5个月以前发布,2410000.0,"24,391元/平",VR看装修 房本满五年 随时看房 
此房产证 准备过五年 交易税费少 视野开阔 看房随时,时代长岛,进港大道,3室2厅 ,128.08, 南 , 精装 ,29,2016, 塔楼,1, 3个月以前发布,2550000.0,"19,910元/平",VR看装修 房本满两年 随时看房 
满五年税费低 方正三房 视野开阔看园区 配套设施齐全,南沙保利城,黄阁,3室2厅 ,93.74, 东北 , 精装 ,25,2017, 塔楼,34, 7个月以前发布,1790000.0,"19,096元/平",VR看装修 房本满五年 随时看房 
南沙区碧桂园天玺湾{执信}旁海景东南向3房2卫放盘,碧桂园天玺湾,进港大道,3室2厅 ,128.12, 东南 , 精装 ,18,2014, 板塔结合,6, 8个月以前发布,3270000.0,"25,523元/平",VR房源 房本满五年 随时看房 
越秀品牌 此房业主诚意卖 中层 精装修 保养好,越秀滨海悦城,金洲,3室2厅 ,117.13, 东南 , 精装 ,31,2013, 塔楼,35, 6个月以前发布,3230000.0,"27,577元/平",VR看装修 房本满五年 随时看房 
4房户型毛坯可自己肆意装修，南向山景洋房,南沙境界家园,黄阁,4室2厅 ,141.64, 南 , 毛坯 ,27,2013, 板塔结合,8, 一年前发布,2350000.0,"16,592元/平",VR看装修 房本满五年 随时看房 
叠翠峰三期小三房 楼层适中 2019年楼,叠翠峰,南沙区府,3室2厅 ,69.25, 西北 , 精装 ,25,2018, 板塔结合,30, 7个月以前发布,1880000.0,"27,149元/平",近地铁 VR看装修 房本满两年 随时看房 
高层湖景，大平层四房带两主套，全新未住,碧桂园天玺湾,进港大道,4室2厅 ,184.57, 南 北 , 精装 ,30,2014, 板塔结合,75, 一年前发布,4350000.0,"23,569元/平",VR房源 房本满五年 随时看房 
南沙碧桂园  南向大四房 保养好 看房方便,南沙碧桂园,金洲,4室2厅 ,152.96, 南 , 精装 ,11,2007, 板塔结合,9, 2个月以前发布,2320000.0,"15,168元/平",VR看装修 房本满五年 随时看房 
碧桂园天玺湾 2室2厅 北,碧桂园天玺湾,进港大道,2室2厅 ,108.16, 北 , 精装 ,30,2014, 板塔结合,4, 1个月以前发布,2130000.0,"19,694元/平",VR房源 房本满五年 随时看房 
叠翠峰南向三房，中高层景观优美，望湖看山，实用率高,叠翠峰,南沙区府,3室2厅 ,86.53, 南 , 精装 ,23,2017, 板楼,8, 5个月以前发布,2650000.0,"30,626元/平",近地铁 VR看装修 房本满两年 随时看房 
满五税费低  小两房  户型方正,碧桂园天玺湾,进港大道,2室1厅 ,68.32, 北 , 精装 ,18,2014, 塔楼,1, 5个月以前发布,1650000.0,"24,152元/平",VR房源 房本满五年 随时看房 
惊呆了！裕兴花园还藏着这好房 产权清晰无抵押,南沙裕兴花园,进港大道,2室2厅 ,94.51, 南 , 精装 ,8,1993, 板楼,61, 一年前发布,970000.0,"10,264元/平",VR看装修 房本满两年 随时看房 
南北对流，高层，单边位，全新未入住，看儿童公园,阳光城丽景湾,进港大道,2室2厅 ,83.35, 南 北 , 简装 ,30,2017, 塔楼,2, 3个月以前发布,1530000.0,"18,357元/平",VR看装修 房本满两年 随时看房 
金洲地铁口物业 时代云图 中高楼层两房 看房方便,广州时代云图,金洲,2室2厅 ,72.01, 北 , 精装 ,18,2016, 塔楼,3, 2个月以前发布,1750000.0,"24,303元/平",VR看装修 房本满五年 随时看房 
翡翠蓝湾3房，业主置换已下定，着急腾购房资格,大岗翡翠蓝湾北区,大岗镇,3室2厅 ,98.0, 南 北 , 精装 ,18,2011, 塔楼,4, 1个月以前发布,1300000.0,"13,266元/平",VR看装修 房本满五年 
时代南湾南向高层海景湖景房 满五唯一 业主诚心卖,时代南湾,南沙港,3室2厅 ,134.68, 南 , 精装 ,32,2015, 板塔结合,1, 1个月以前发布,2880000.0,"21,385元/平",VR看装修 房本满五年 
满五唯一，地铁口豪庭南北对流，中高楼层,南沙碧桂园豪庭,金洲,3室2厅 ,91.35, 南 北 , 精装 ,18,2012, 塔楼,109, 10个月以前发布,1800000.0,"19,705元/平",VR看装修 房本满五年 
南沙碧桂园电梯三房带精装急转，刚需易上车,南沙碧桂园,金洲,3室1厅 ,108.85, 北 , 精装 ,11,2007, 板塔结合,5, 1个月以前发布,1700000.0,"15,618元/平",VR看装修 房本满五年 
房产证过五年，业主自住保养新，视野开阔望湖景观好,万科府前一号,南沙区府,3室2厅 ,118.38, 东 东南 , 精装 ,18,2013, 板楼,37, 4个月以前发布,2950000.0,"24,920元/平",VR看装修 房本满五年 
地铁口 南向四房 满五唯一 产权清晰,越秀滨海隽城,金洲,4室2厅 ,145.13, 南 , 精装 ,16,2012, 塔楼,19, 7个月以前发布,3500000.0,"24,117元/平",VR看装修 房本满五年 
南沙珠江湾 私享滨海公园 户型方正业主诚心放卖,南沙珠江湾,南沙湾,3室2厅 ,120.0, 南 , 其他 ,28,2012, 板塔结合,61, 9个月以前发布,2180000.0,"18,167元/平",VR看装修 房本满两年 
此房户型采光好，使用率高，小区环境优雅，山.湖.海,时代南湾,南沙港,4室2厅 ,169.91, 西北 , 简装 ,19,2012, 板塔结合,17, 1个月以前发布,3310000.0,"19,481元/平",VR看装修 房本满五年 
楼层好 视野宽阔 采光充足 实用率高、满五税费低,晴海岸,南沙湾,3室2厅 ,93.68, 南 北 , 简装 ,18,2015, 塔楼,20, 3个月以前发布,2080000.0,"22,204元/平",近地铁 VR看装修 房本满五年 
望河望湖  南北对流通风采光好   满五唯一少税,龙光棕榈水岸北区,南沙区府,3室2厅 ,108.4, 南 北 , 精装 ,17,2010, 塔楼,31, 2个月以前发布,2800000.0,"25,831元/平",近地铁 VR房源 房本满五年 
业主急卖，南向3房，中高楼层，看小区花园，免费停车,阳光城丽景湾,进港大道,3室2厅 ,109.67, 南 , 精装 ,30,2017, 塔楼,6, 1个月以前发布,2180000.0,"19,878元/平",VR看装修 房本满两年 
南沙品质头位小区空间能谈，南向三房望江一览灵山风貌,南沙金茂湾,明珠湾,3室1厅 ,123.79, 南 , 精装 ,38,2016, 塔楼,2, 1个月以前发布,4300000.0,"34,737元/平",VR房源 房本满两年 
过5年 产权清晰 房子无欠款 方便看楼,广晟海韵兰庭,进港大道,3室2厅 ,102.13, 南 北 , 精装 ,11,2012, 塔楼,25, 5个月以前发布,1950000.0,"19,094元/平",VR房源 房本满五年 
南沙时代云图三房放卖满五税费少,广州时代云图,金洲,3室1厅 ,92.86, 东南 南 , 精装 ,31,2016, 塔楼,14, 3个月以前发布,2480000.0,"26,707元/平",VR看装修 房本满五年 随时看房 
遥望焦门河景观、中国风特色建筑,南沙云山诗意,金洲,3室2厅 ,103.76, 北 , 精装 ,28,2014, 塔楼,21, 一年前发布,2980000.0,"28,721元/平",VR看装修 房本满五年 随时看房 
碧桂园豪庭地铁15楼层四开间朝南,南沙碧桂园豪庭,金洲,3室1厅 ,108.85, 东南 南 , 精装 ,18,2012, 塔楼,32, 3个月以前发布,2220000.0,"20,396元/平",近地铁 VR房源 房本满两年 随时看房 
楼层好，视野宽阔，采光充足，配套设施齐全，,时代长岛,进港大道,3室2厅 ,109.49, 南 北 , 精装 ,29,2016, 塔楼,14, 9个月以前发布,1900000.0,"17,354元/平",VR看装修 房本满两年 随时看房 
此房满五，小区环境舒适，视野采光好,越秀滨海珺城,明珠湾,3室1厅 ,126.0, 北 , 精装 ,23,2011, 塔楼,3, 1个月以前发布,3150000.0,"25,000元/平",近地铁 VR房源 房本满五年 随时看房 
南沙金洲成熟版块，精装三房，楼龄新，保养好，带车位,碧桂园蜜柚,进港大道,3室2厅 ,85.23, 北 , 精装 ,27,2018, 塔楼,17, 6个月以前发布,1890000.0,"22,176元/平",VR看装修 房本满两年 随时看房 
南沙奥园 中高层南向 三房两卫三阳台 毛坯自己装修,南沙奥园,南沙湾,3室2厅 ,132.0, 南 , 毛坯 ,9,2012, 塔楼,51, 6个月以前发布,1830000.0,"13,864元/平",VR看装修 房本满两年 随时看房 
万科府前一号 143方 四房二卫 南北对流 满五唯一,万科府前一号,南沙区府,4室2厅 ,143.0, 南 北 , 精装 ,18,2014, 板楼,38, 一年前发布,3500000.0,"24,476元/平",VR看装修 房本满五年 随时看房 
区府大三房高楼层视野广通透对流！,万科府前一号,南沙区府,3室1厅 ,122.78, 北 , 毛坯 ,30,2014, 板楼,2, 6个月以前发布,3280000.0,"26,715元/平",VR看装修 房本满五年 随时看房 
南沙湾东苑 3室2厅 南 北,南沙湾东苑,南沙港,3室2厅 ,115.8, 南 北 , 毛坯 ,30,2017, 板塔结合,7, 7个月以前发布,3000000.0,"25,907元/平",近地铁 VR看装修 房本满两年 随时看房 
越秀滨海御城  高层东南向 观山观海  包增值税 包车位,越秀滨海御城,金洲,3室1厅 ,110.94, 东南 , 精装 ,32,2018, 塔楼,65, 3个月以前发布,3000000.0,"27,042元/平",VR房源 房本满两年 随时看房 
南沙碧桂园蜜柚 精装三房2卫 中高楼层 含车位,碧桂园蜜柚,进港大道,3室2厅 ,98.67, 东南 , 精装 ,27,2018, 塔楼,2, 1个月以前发布,2250000.0,"22,804元/平",VR看装修 房本满两年 随时看房 
逸涛雅苑 5室1厅 南,逸涛雅苑,进港大道,5室1厅 ,135.4, 南 , 毛坯 ,3, 塔楼 , 联排别墅 ,1, 1个月以前发布,3700000.0,"27,327元/平",VR房源 房本满五年 
金茂头排物业 临江边看园林景观舒适,南沙金茂湾,明珠湾,4室2厅 ,245.06, 东南 , 精装 ,30,2016, 塔楼,44, 一年前发布,7650000.0,"31,217元/平",VR房源 房本满两年 随时看房 
凯德新玥三房两厅南北通透格局好,凯德新玥,榄核镇,3室2厅 ,89.88, 北 南 , 毛坯 ,32,2015, 塔楼,1, 7个月以前发布,1260000.0,"14,019元/平",VR看装修 房本满两年 随时看房 
南向采光好，保养好，凤凰湖在旁相拥。。。。。,叠翠峰,南沙区府,3室2厅 ,103.62, 南 , 精装 ,17,2018, 板塔结合,5, 2个月以前发布,2980000.0,"28,759元/平",近地铁 VR看装修 房本满两年 随时看房 
金洲三房带车位 视野开阔 采光充足 格局方正 随时看房,碧桂园蜜柚,进港大道,3室2厅 ,85.55, 北 , 其他 ,27,2018, 板楼,2, 2个月以前发布,1750000.0,"20,456元/平",VR看装修 房本满两年 随时看房 
急卖，低至11000一个方，东南向高层电梯三房，,明珠花园(南沙区),金洲,3室2厅 ,122.57, 东南 , 简装 ,12,1999, 塔楼,34, 5个月以前发布,1280000.0,"10,444元/平",VR房源 房本满两年 随时看房 
区府旁龙光南向三房 次顶楼看蕉门河 满五唯一税费低,龙光棕榈水岸南区,南沙区府,3室2厅 ,93.9, 南 , 精装 ,18,2013, 板塔结合,1, 1个月以前发布,2430000.0,"25,879元/平",VR看装修 房本满五年 随时看房 
南沙区府龙光北区南北对流高楼层大三房,龙光棕榈水岸北区,南沙区府,3室2厅 ,124.18, 南 , 精装 ,18,2014, 塔楼,11, 8个月以前发布,2950000.0,"23,756元/平",近地铁 VR看装修 房本满五年 随时看房 
碧桂园天玺湾高层三房两卫一线海景房,碧桂园天玺湾,进港大道,3室1厅 ,102.59, 西北 , 简装 ,27,2014, 板塔结合,26, 5个月以前发布,2200000.0,"21,445元/平",VR房源 房本满五年 随时看房 
楼层好，南向望花园，房子装修 保养好.诚心卖,南沙保利城,黄阁,3室2厅 ,106.81, 东南 , 精装 ,28,2017, 塔楼,10, 一年前发布,2050000.0,"19,193元/平",VR看装修 房本满两年 随时看房 
时代云图 中高层园景三房 望泳池,广州时代云图,金洲,3室2厅 ,81.73, 东北 , 精装 ,26,2016, 塔楼,29, 一年前发布,2150000.0,"26,307元/平",VR看装修 房本满五年 随时看房 
时代南湾，高品质小区。中楼层看海,时代南湾,南沙港,3室2厅 ,91.66, 东南 南 , 精装 ,32,2012, 板塔结合,39, 10个月以前发布,2050000.0,"22,366元/平",VR看装修 房本满五年 随时看房 
诚心放卖北向看花园，仅卖193包增值税，业主好说话哇,碧桂园蜜柚,进港大道,3室2厅 ,85.39, 北 , 精装 ,26,2018, 塔楼,8, 2个月以前发布,1780000.0,"20,846元/平",VR看装修 房本满两年 随时看房 
金洲站旁精装大三房！1.8宛/㎡！保养好布局好！随时看,海璟奥园,金洲,3室2厅 ,127.02, 北 , 精装 ,25,2011, 塔楼,8, 一年前发布,2800000.0,"22,044元/平",VR看装修 房本满五年 随时看房 
南向中楼层3房2卫  7米长的大阳台 急卖,优山悦海,南沙港,3室2厅 ,119.2, 东南 , 毛坯 ,18,2013, 塔楼,17, 2个月以前发布,2280000.0,"19,128元/平",近地铁 VR看装修 房本满五年 随时看房 
海璟奥园 3室2厅 南,海璟奥园,金洲,3室2厅 ,135.57, 南 , 毛坯 ,25,2011, 塔楼,33, 2个月以前发布,2370000.0,"17,482元/平",VR看装修 房本满五年 随时看房 
碧桂园蜜柚，精装三房，诚意十足190，拎包入住,碧桂园蜜柚,进港大道,3室2厅 ,86.0, 北 , 其他 ,27,2018, 塔楼,12, 7个月以前发布,1790000.0,"20,814元/平",VR看装修 房本满两年 随时看房 
地铁口华师旁南向精装修保养不错的两房,优山悦海,南沙港,2室1厅 ,80.08, 北 , 精装 ,18,2013, 塔楼,1, 1个月以前发布,1600000.0,"19,981元/平",VR房源 房本满两年 随时看房 
业主诚意出 看房有钥匙 欢迎随时咨询,南沙万达广场,金洲,1室0厅 ,52.48, 南 , 精装 ,28,2017, 塔楼,2, 2个月以前发布,460000.0,"8,766元/平",房本满五年 随时看房 
金洲地铁口 交通便利 商圈配套成熟,中大城,金洲,1室1厅 ,69.21, 东 北 , 毛坯 ,20,2013, 塔楼,6, 2个月以前发布,740000.0,"10,693元/平",房本满两年 随时看房 
金洲地铁物业，保利地产开发 复式双层户型,南沙大都汇,金洲,3室2厅 ,64.0, 南 , 精装 ,22,2015, 塔楼,52, 9个月以前发布,750000.0,"11,719元/平",房本满两年 
三楼带平台！生活方便，业主诚意卖！,明珠花园(南沙区),金洲,3室2厅 ,122.57, 东北 , 毛坯 ,12,1999, 塔楼,18, 一年前发布,1150000.0,"9,383元/平",VR房源 房本满五年 随时看房 
复式精装修中楼层，户型方正，采光通风好,凯德新玥,榄核镇,2室2厅 ,59.8, 东 , 精装 ,22,2015, 塔楼,28, 6个月以前发布,560000.0,"9,365元/平",房本满两年 随时看房 
少有南向两房，环境优美，保养好，拎包入住,南沙保利城,黄阁,2室1厅 ,76.61, 南 , 精装 ,26,2017, 塔楼,16, 5个月以前发布,1590000.0,"20,755元/平",VR看装修 房本满五年 随时看房 
阳光城丽景湾 南北对流 中楼层  证过二 配套成熟,阳光城丽景湾,进港大道,2室2厅 ,83.35, 南 北 , 简装 ,32,2017, 塔楼,19, 一年前发布,1530000.0,"18,357元/平",VR看装修 房本满两年 随时看房 
金州地铁站，时代品质小区精装两房，满五唯一税费低,广州时代云图,金洲,2室1厅 ,72.58, 北 , 精装 ,18,2016, 塔楼,50, 3个月以前发布,1730000.0,"23,836元/平",VR房源 房本满五年 随时看房 
凤凰楼层！精装修，保养好，视野开阔，商圈成熟。,越秀滨海悦城,金洲,2室2厅 ,88.8, 北 , 精装 ,31,2013, 塔楼,10, 4个月以前发布,2200000.0,"24,775元/平",近地铁 VR看装修 房本满五年 随时看房 
阳光城丽景湾南向两房，户型方正，采光好，儿童公园旁,阳光城丽景湾,进港大道,2室2厅 ,76.04, 南 , 简装 ,30,2017, 塔楼,18, 一年前发布,1400000.0,"18,412元/平",VR看装修 房本满两年 随时看房 
明珠湾珺城两房 广外旁 近地铁 全屋维意定制,越秀滨海珺城,明珠湾,2室2厅 ,76.21, 北 , 精装 ,28,2015, 塔楼,22, 2个月以前发布,1900000.0,"24,932元/平",近地铁 VR房源 房本满五年 随时看房 
天玺湾2房东南向满五唯一税少楼层好随时看房,碧桂园天玺湾,进港大道,2室2厅 ,76.88, 东南 , 精装 ,18,2014, 板塔结合,0, 3个月以前发布,1790000.0,"23,284元/平",VR房源 房本满五年 随时看房 
满五年，中楼层，视野好，业主诚心。,时代南湾,南沙港,3室2厅 ,96.25, 东南 , 精装 ,32,2012, 板塔结合,5, 1个月以前发布,1920000.0,"19,949元/平",VR看装修 房本满五年 
望河望湖  南北对流通风采光好   满五唯一少税,龙光棕榈水岸北区,南沙区府,3室2厅 ,108.4, 南 北 , 精装 ,17,2010, 塔楼,31, 2个月以前发布,2800000.0,"25,831元/平",近地铁 VR房源 房本满五年 
此房户型采光好，使用率高，小区环境优雅，山.湖.海,时代南湾,南沙港,4室2厅 ,169.91, 西北 , 简装 ,19,2012, 板塔结合,17, 1个月以前发布,3310000.0,"19,481元/平",VR看装修 房本满五年 
