实用大复式！过5年，唯一物业，税费低,锦绣生态园,钟村,4室2厅 ,202.67, 东北 , 精装 ,17,2007, 塔楼,1,18,5000000.0,"24,671元/平",VR房源 房本满五年 随时看房 
房子楼龄新 精装修 南北对流 楼层好 视野开阔 采光好,尚上名筑二期,亚运城,3室1厅 ,106.94, 南 北 , 精装 ,31,2016, 塔楼,9,27,2260000.0,"21,134元/平",VR看装修 房本满五年 随时看房 
华侨城，步梯中层，实用三房，可做公积金,华侨城(番禺),市桥,3室1厅 ,74.1, 西 , 简装 ,7,1995, 塔楼,8,27,1280000.0,"17,274元/平",VR看装修 房本满两年 随时看房 
一手业主，很少住，保养好，采光好，望花园，视野开..,广州碧桂园雅苑,南浦,3室2厅 ,96.2, 西南 , 简装 ,6,1998, 塔楼,2,24,2680000.0,"27,859元/平",近地铁 VR房源 房本满五年 随时看房 
新城市宜家 次新房近地铁 格局方正实用 东南向双阳台,新城市宜家,大石,3室1厅 ,102.53, 东南 南 , 精装 ,9,2017, 塔楼,2,28,3250000.0,"31,699元/平",近地铁 VR看装修 房本满两年 随时看房 
地铁低层精装三房 大型小区管理，格局方正,江南新村,市桥北,3室1厅 ,81.56, 东南 , 精装 ,7,1998, 塔楼,3,30,1780000.0,"21,825元/平",VR看装修 房本满五年 随时看房 
地铁口电梯房，框架，满五年，小区管理，交通便利,怡乐园(番禺),市桥,4室2厅 ,202.9, 东 , 精装 ,23,2003, 塔楼,0, 1个月以前发布,3360000.0,"16,560元/平",近地铁 房本满五年 随时看房 
此房满五不唯一，采光充足，配套设施齐全，交通便利,大北路,市桥,2室4厅 ,120.71, 南 , 精装 ,3,1992, 板塔结合,4, 1个月以前发布,1890000.0,"15,658元/平",VR房源 房本满五年 随时看房 
果岭大平层四房 装修保养好 位置好 出入方便,南国奥林匹克花园,汉溪长隆,4室2厅 ,187.1, 南 , 简装 ,28,2006, 塔楼,13, 2个月以前发布,4450000.0,"23,785元/平",VR看装修 房本满五年 随时看房 
祈福新村绿怡  近小区花园  出入方便,祈福新村绿怡居,祈福新村,3室2厅 ,81.7, 北 , 简装 ,4,1999, 板楼,0,9,1950000.0,"23,868元/平",VR看装修 房本满五年 随时看房 
东景园，东向，近地铁，电梯高层，有钥匙看房,东怡新区东景园,东怡新区,3室2厅 ,100.7, 东 , 精装 ,9,2000, 塔楼,1,15,2800000.0,"27,806元/平",近地铁 VR看装修 房本满五年 随时看房 
东南向 中高层 产权过五年 无按揭 产权清晰,祈福新村祈福名都,祈福新村,3室1厅 ,92.97, 南 , 精装 ,26,2014, 塔楼,0,12,3300000.0,"35,496元/平",VR房源 房本满五年 随时看房 
南向，精装，实用电梯两房，拎包入住，满5税费少,锦绣生态园,钟村,2室1厅 ,70.7, 南 , 精装 ,12,1993, 塔楼,1,8,1600000.0,"22,631元/平",VR房源 房本满五年 随时看房 
电梯房  精装修  过五年唯一  看园区,番禺海伦堡,桥南,3室2厅 ,109.8, 北 , 精装 ,7,2005, 塔楼,0,9,3100000.0,"28,234元/平",VR房源 房本满五年 随时看房 
东南向地铁口物业 精装拎包入住 12月份证满5唯一省税,石桥新村,市桥,3室2厅 ,89.9, 东南 , 精装 ,7,1995, 塔楼,0,15,1500000.0,"16,686元/平",近地铁 VR看装修 房本满两年 
