珠光新城御景二期 一线江景南向4房  视野开阔,珠光新城御景二期,珠江新城东,4室2厅 ,154.26, 南 北 , 精装 ,27,2017, 塔楼,84, 7个月以前发布,22800000.0,"147,803元/平",近地铁 VR看装修 房本满两年 随时看房 
天河公园 南向四房带主套  采光通风好 交通方便,华翠街小区,天河公园,4室2厅 ,145.74, 南 , 精装 ,9,1996, 塔楼,34, 一年前发布,8600000.0,"59,010元/平",近地铁 VR看装修 房本满五年 随时看房 
侨乐新村电梯三房 格局方正 采光通风好 南北向单边位,侨乐新村,沙太南,3室2厅 ,89.6, 南 , 精装 ,9,1994, 塔楼,9, 2个月以前发布,3200000.0,"35,715元/平",近地铁 VR看装修 房本满两年 随时看房 
珠江新城东，正南向望花园，实用率高，配套齐全,紫林居,天河公园,4室2厅 ,71.33, 南 , 精装 ,10,2000, 塔楼,10, 7个月以前发布,4350000.0,"60,985元/平",近地铁 VR房源 房本满五年 随时看房 
天河公园西门 高层三房 户型方正实用率高 楼龄新,华港花园,天河公园,3室2厅 ,116.4, 南 北 , 简装 ,30,2004, 塔楼,8, 6个月以前发布,7190000.0,"61,752元/平",近地铁 VR看装修 房本满五年 随时看房 
珠江新城东，正南向望花园，实用率高，配套齐全,紫林居,天河公园,4室2厅 ,141.56, 南 , 精装 ,10,2000, 塔楼,464, 7个月以前发布,8480000.0,"59,904元/平",近地铁 VR房源 房本满五年 随时看房 
华景里次新房 四房两厅 视野采光好 南北对流 诚心卖,华景新城华景里,华景新城,4室2厅 ,144.37, 南 北 , 精装 ,29,2014, 塔楼,16, 一年前发布,8070000.0,"55,854元/平",VR房源 房本满五年 随时看房 
满五唯一，楼层好，视野好，采光通透，交通便利,东璟花园,员村,1室1厅 ,53.9, 北 , 精装 ,25,2004, 塔楼,2,16,3600000.0,"66,791元/平",近地铁 VR房源 房本满五年 随时看房 
高层南向大3房 户型方正 少有放卖,中兴花园,东圃,3室1厅 ,101.82, 南 , 简装 ,12,2000, 塔楼,1,14,4120000.0,"40,396元/平",VR看装修 房本满五年 随时看房 
珠江新城东 安静温馨3房 带天台花园,华江花园,天河公园,3室1厅 ,89.9, 南 北 , 精装 ,9,2000, 塔楼,5,14,5200000.0,"57,843元/平",近地铁 VR看装修 房本满五年 
电梯南向二房 采光通风都好，房子安静方正实用,华康小区,体育中心,2室1厅 ,66.43, 东南 , 精装 ,8,1999, 塔楼,0,12,4980000.0,"74,967元/平",近地铁 VR看装修 房本满五年 
在建地铁18号线300米，电梯中层看花园，满五年唯一,阳光家园(天河),沙太南,3室1厅 ,78.2, 东 西 , 精装 ,9,2002, 塔楼,1,12,2700000.0,"34,527元/平",VR房源 房本满五年 
侨怡苑 电梯高层 南向二房  满五唯一 安静小区环境,侨怡苑,体育中心,2室1厅 ,68.54, 南 , 精装 ,9,1992, 塔楼,0,10,5740000.0,"83,747元/平",近地铁 VR房源 房本满五年 
美林湖畔大两房，格局方正，望小区园林安静舒适,美林湖畔花园,东圃,2室2厅 ,78.89, 东北 , 精装 ,11,2005, 塔楼,0,4,4100000.0,"51,884元/平",近地铁 VR房源 房本满五年 
天诚广场 东向两房 厅出阳台 中层采光好 住家安静,天诚广场,天润路,2室2厅 ,70.19, 东 , 简装 ,31,2001, 板塔结合,1,15,5280000.0,"75,225元/平",近地铁 VR看装修 房本满五年 
星海音乐学院 3室1厅 东南,星海音乐学院,沙河,3室1厅 ,63.33, 东南 , 简装 ,7,1985, 塔楼,0,13,2530000.0,"39,950元/平",近地铁 VR看装修 房本满五年 
侨林苑三期 温馨一房一厅楼龄新 精装修,侨林苑,林和,1室1厅 ,46.68, 北 , 精装 ,31,2003, 板塔结合,0,4,3740000.0,"80,069元/平",近地铁 VR看装修 房本满两年 
通风采光好，视野开阔，近地铁.,棠德花苑,棠下,3室1厅 ,56.25, 南 , 精装 ,9,2000, 塔楼,1,10,1800000.0,"32,000元/平",近地铁 VR房源 房本满两年 
龙口西方正实用电梯两房，闹中取静，满五，急卖,煤气公司宿舍(天河区),龙口东,2室1厅 ,69.4, 北 , 简装 ,9,1995, 塔楼,0,10,4500000.0,"64,842元/平",近地铁 VR房源 房本满五年 
金田花苑 南向三房 封闭式花园小区 安静不吵,金田花苑,天润路,3室2厅 ,91.37, 南 , 简装 ,19,1997, 塔楼,0,6,5560000.0,"60,821元/平",VR看装修 房本满五年 
天朗明居2期高层厅出阳台两房，视野开阔，安静望花园,富力天朗明居,棠下,2室1厅 ,71.48, 北 , 简装 ,22,2004, 塔楼,3,15,3630000.0,"50,725元/平",近地铁 VR房源 房本满五年 
广海花园一期 满五唯一 南北对流 双阳台 近天河公园,广海花园,天河公园,2室1厅 ,69.01, 南 , 精装 ,8,1998, 板楼,1,10,3036400.0,"44,000元/平",VR房源 房本满五年 
满五唯一，业主诚心卖，中高楼层，看体育场,都市华庭(天河),体育中心,3室2厅 ,135.44, 南 北 , 其他 ,32,2001, 塔楼,0,12,11700000.0,"86,386元/平",近地铁 VR看装修 房本满五年 
帝景苑 四房两厅 中高层 不靠马路 采光好 满五唯一,帝景苑,龙口西,4室2厅 ,137.0, 西北 北 , 精装 ,32,2000, 板塔结合,0,15,8290000.0,"60,442元/平",VR房源 房本满五年 
德埔小区 2室2厅 南,德埔小区,石牌,2室2厅 ,70.86, 南 , 其他 ,8,1993, 塔楼,1,11,4300000.0,"60,684元/平",VR看装修 房本满五年 
天文苑，过五年，全新装修，华阳+广州中，拎包入住,天文苑,体育中心,2室2厅 ,94.97, 北 , 精装 ,29,2003, 板塔结合,3,11,7300000.0,"76,867元/平",近地铁 VR看装修 房本满五年 
准电梯2房，精装修，拎包入住，刚需上车好盘。,迎翠春庭,棠下,2室1厅 ,46.46, 南 , 精装 ,9,2000, 塔楼,1,27,1630000.0,"35,084元/平",近地铁 VR看装修 房本满五年 随时看房 
新燕花园 精装三房 户型方正实用 看房方便 交通便利,新燕花园,燕塘,3室1厅 ,83.26, 北 , 精装 ,9,2004, 塔楼,1,29,4350000.0,"52,246元/平",近地铁 VR看装修 房本满五年 随时看房 
新装修自住，高层安静视野好，满五唯一省税费。,易通大厦,石牌,1室1厅 ,45.54, 北 , 精装 ,31,2007, 塔楼,1,19,2150000.0,"47,212元/平",VR看装修 房本满五年 随时看房 
天河区沙河顶 省一 满五 新装修两房 近地铁 安静,物资局大院,沙河,2室1厅 ,63.94, 南 北 , 简装 ,6,1987, 塔楼,6,23,1730000.0,"27,057元/平",近地铁 VR房源 房本满五年 随时看房 
沙河顶 2室1厅 东北,沙河顶,沙河,2室1厅 ,50.97, 东北 , 简装 ,7,1995, 塔楼,3,19,1380000.0,"27,075元/平",近地铁 VR看装修 房本满五年 随时看房 
电梯两房 格局格局好 安静 鸟语花香 诚心卖,侨源山庄,粤垦,2室2厅 ,72.66, 东南 西南 , 简装 ,9,1998, 塔楼,4,30,3080000.0,"42,390元/平",VR房源 房本满五年 随时看房 
环宇花园 1室1厅 北,环宇花园,天河公园,1室1厅 ,41.78, 北 , 精装 ,9,1996, 塔楼,2,18,1850000.0,"44,280元/平",VR看装修 房本满五年 随时看房 
广州东站 2005年次新小区豪景花园电梯两房 环境好,豪景花园,沙河,2室1厅 ,69.96, 东南 , 精装 ,19,2007, 塔楼,0,30,2520000.0,"36,021元/平",VR房源 房本满五年 随时看房 
丰兴广场 花园小区带泳池 东南向高层视野无遮挡,丰兴广场,天河南,4室2厅 ,143.2, 东南 , 精装 ,32,2010, 板塔结合,0,18,11500000.0,"80,308元/平",近地铁 VR房源 房本满五年 
中怡东向顶层复式，层高接近6米，买一层得两层,中怡城市花园,林和,2室2厅 ,69.08, 东 , 精装 ,30,2002, 塔楼,3,21,5400000.0,"78,083元/平",近地铁 VR房源 房本满五年 
J格Z低 业主卖心强 证过五年 中层看小区园林,嘉裕君玥公馆,珠江新城西,4室1厅 ,191.08, 南 , 精装 ,30,2009, 塔楼,3,18,24500000.0,"128,219元/平",近地铁 VR房源 房本满五年 
暨南大学旁，封闭式小区，原装电梯两房总额低，楼龄新,明轩,石牌,2室1厅 ,71.39, 东 , 其他 ,26,2004, 塔楼,1,24,4200000.0,"58,832元/平",近地铁 VR看装修 房本满两年 
看江户型 三房两卫 全新装修 视野通风好 拎包入住,兰亭盛荟,东圃,3室2厅 ,106.0, 南 北 , 精装 ,33,2018, 塔楼,1,31,5830000.0,"54,920元/平",近地铁 VR看装修 房本满两年 
地铁口，精装修，凤凰楼层方正两房满五年唯一物业,侨乐新村,沙太南,2室1厅 ,65.5, 东南 , 精装 ,9,1997, 塔楼,0,24,2400000.0,"36,642元/平",VR看装修 房本满五年 
新大厦 满5年 保养好 大户型4房,新大厦,珠江新城西,4室2厅 ,183.83, 西南 , 精装 ,30,1998, 塔楼,0,24,19800000.0,"107,709元/平",近地铁 VR房源 房本满五年 
南苑单边 东南向精装四房看金融城,骏景花园,棠下,4室2厅 ,130.81, 东南 , 精装 ,13,2000, 塔楼,2,19,6790000.0,"51,878元/平",近地铁 VR房源 房本满五年 
金融城美林海岸，南向安静三房比同户型低于100个急卖,美林海岸花园,员村,3室2厅 ,110.63, 南 , 精装 ,15,2003, 塔楼,3,17,9800000.0,"88,584元/平",近地铁 VR房源 房本满五年 
天河北后花园原装电梯，高层两房，刚需上车盘,橡树园,沙太南,2室1厅 ,76.06, 西南 , 精装 ,17,2003, 塔楼,2,28,3080000.0,"40,495元/平",VR看装修 房本满五年 
天健上城 次新小区 南向三房看花园,天健上城,车陂,3室1厅 ,101.0, 西南 , 精装 ,13,2016, 塔楼,0,30,8300000.0,"82,179元/平",VR看装修 房本满五年 
名门大厦复式南向单位——珠江新城上车刚需之选,名门大厦,珠江新城西,3室2厅 ,171.99, 南 , 简装 ,33,1997, 塔楼,1,23,11000000.0,"63,958元/平",VR房源 房本满五年 
此房高楼层，实用率高，南北对流，电梯房,煤气公司宿舍(天河区),龙口东,2室1厅 ,65.7, 南 , 精装 ,9,1995, 塔楼,0,21,4500000.0,"68,494元/平",近地铁 VR房源 房本满五年 
天平架6号线 满五唯一 安静望小区正规大三房,侨乐新村,沙太南,3室2厅 ,93.57, 南 北 , 简装 ,9,1994, 塔楼,1,17,3250000.0,"34,734元/平",近地铁 VR房源 房本满五年 
正南向三房 带100平方的私家独立花园 鲜有放盘,阳光假日园,棠下,3室1厅 ,82.5, 南 , 其他 ,11,2009, 塔楼,3,25,4290000.0,"51,995元/平",近地铁 VR房源 房本满五年 
金融城 骏景花园 南苑3房 使用率高 保养好  近地铁,骏景花园,棠下,3室2厅 ,103.88, 北 , 精装 ,19,2003, 塔楼,100,30,5390000.0,"51,878元/平",近地铁 VR房源 房本满五年 
绿化好物业好华成3房电梯房满五年,西雅苑,体育中心,3室1厅 ,91.2, 北 , 其他 ,28,1998, 塔楼,3,25,6000000.0,"65,790元/平",近地铁 VR房源 房本满五年 
