广工大院一楼带70方花园使用率高 西南北通风采光好,广工大院,黄花岗,3室2厅 ,72.23, 南 北 , 简装 ,7,1991, 塔楼,3,4,4990000.0,"69,085元/平",VR房源 房本满五年 随时看房 
海南大厦 1室1厅 南,海南大厦,人民路,1室1厅 ,43.27, 南 , 其他 ,19,1995, 塔楼,0,5,1730000.0,"39,982元/平",VR看装修 房本满五年 随时看房 
八一 房过五年，小区管理 安静不吵,五羊华轩,五羊新城,3室2厅 ,91.77, 东 西 北 , 简装 ,24,2004, 塔楼,0,7,7000000.0,"76,278元/平",近地铁 VR房源 房本满五年 随时看房 
环市东商圈 青菜岗中层精装大两房,青菜岗,建设路,2室1厅 ,56.98, 南 北 , 简装 ,7,1996, 塔楼,1,13,2930000.0,"51,422元/平",近地铁 VR看装修 房本满五年 随时看房 
淘金家园东南向望小区园林住家精装三房满五唯一急卖,淘金家园二三期,淘金,3室2厅 ,114.91, 东南 , 精装 ,30,2004, 塔楼,2,12,10800000.0,"93,987元/平",VR房源 房本满五年 随时看房 
华侨新村 南北对流三房 全新装修  户型方正实用,华侨新村,淘金,3室1厅 ,50.44, 南 , 其他 ,7,2000, 塔楼,1,3,2980000.0,"59,081元/平",近地铁 VR房源 房本满五年 
仓边路35号大院 3室1厅 东南,仓边路35号大院,公园前,3室1厅 ,69.0, 东南 , 其他 ,8,1990, 塔楼,1,26,3390000.0,"49,131元/平",近地铁 VR看装修 房本满五年 随时看房 
越秀区 瑶台花园 高层两房 通风采光好,瑶台花园,三元里,2室1厅 ,66.42, 南 , 简装 ,9,1996, 塔楼,0,25,1430000.0,"21,530元/平",近地铁 VR房源 房本满五年 随时看房 
唯一南向 楼龄新 Vanke物业 大四房 低于市场成交均值,麓湖御景,淘金,4室1厅 ,146.44, 东南 南 , 精装 ,33,2007, 塔楼,71, 11个月以前发布,7150000.0,"48,826元/平",近地铁 VR房源 房本满五年 随时看房 
嘉诚国际公寓 1室0厅 东,嘉诚国际公寓,水荫,1室0厅 ,41.26, 东 , 精装 ,29,2007, 塔楼,1,6,2050000.0,"49,685元/平",VR看装修 房本满两年 随时看房 
满五不唯一 厅出阳台 楼下环境好 马赛克外墙 标准两房,文德南路,越秀南,2室1厅 ,55.82, 东 东北 , 其他 ,9,1999, 塔楼,0,6,2300000.0,"41,204元/平",近地铁 VR看装修 房本满五年 随时看房 
6号线地铁 德兴苑电梯新装修两房  保养好 出行方便,德兴苑,人民路,2室1厅 ,40.76, 南 , 精装 ,24,1998, 塔楼,0,5,1800000.0,"44,161元/平",VR看装修 房本满五年 随时看房 
方正实用三房  三面单边  过五年唯一税费少,海平阁,五羊新城,3室1厅 ,98.9, 东北 , 精装 ,26,1993, 塔楼,1,12,6080000.0,"61,477元/平",近地铁 VR看装修 房本满五年 
