该房子满五年 格局方正 南北对流,碧桂园豪进广场,白江,3室2厅 ,116.77, 南 北 , 毛坯 ,31,2016, 塔楼,0,11,2480000.0,"21,239元/平",近地铁 VR房源 房本满五年 随时看房 
白江核地段 新塘top旁 交通便利出行天河黄埔,惠百氏广场,白江,2室2厅 ,80.77, 西 , 简装 ,18,2012, 塔楼,0,8,1520000.0,"18,819元/平",近地铁 VR看装修 房本满两年 随时看房 
中高层三房，东向采光好，位置安静,惠百氏广场,白江,3室1厅 ,85.65, 东 , 精装 ,18,2012, 塔楼,0,3,1750000.0,"20,432元/平",近地铁 VR房源 房本满五年 随时看房 
锦绣新天地 三房两卫 南向小区中间位置 居家舒适,锦绣新天地,新塘南,3室1厅 ,133.6, 南 , 毛坯 ,28,2012, 塔楼,0,4,1925000.0,"14,409元/平",VR房源 房本满两年 随时看房 
富雅都是华庭 官湖地铁站 中层实用南向3房 满五年唯一,富雅都市华庭,新塘北,3室1厅 ,114.28, 南 , 简装 ,11,2009, 塔楼,0,6,1430000.0,"12,514元/平",VR看装修 房本满五年 随时看房 
满五唯一免增值税，南北对流大三房望花园 精装,汇东国际花园,白江,3室2厅 ,131.26, 南 北 , 精装 ,28,2012, 塔楼,0,14,2760000.0,"21,027元/平",VR看装修 房本满五年 
此房满五唯一，格局方正，采光充足 税费少,锦绣新天地,新塘南,4室1厅 ,139.16, 东北 , 精装 ,28,2012, 塔楼,1,11,2380000.0,"17,103元/平",VR房源 房本满五年 
高楼层南向看花园，装修保养好可拎包入住，视野很好,合汇学府名郡,白江,3室2厅 ,122.19, 南 , 精装 ,32,2017, 塔楼,1,12,2060000.0,"16,859元/平",VR看装修 房本满两年 
过五年唯一税费低，通透户型，望花园 业主诚心卖.,锦绣新天地,新塘南,2室1厅 ,93.74, 南 , 简装 ,15,2009, 塔楼,0,5,1300000.0,"13,869元/平",VR房源 房本满五年 随时看房 
凤锦苑南向3房，满五税费少，带车位一起卖,碧桂园凤凰城凤锦苑,凤凰城,3室2厅 ,105.44, 南 , 其他 ,24,2002, 塔楼,0,5,1980000.0,"18,779元/平",VR看装修 房本满五年 随时看房 
汇东品质小区 南北对流3房  急卖,汇东国际花园,白江,3室2厅 ,129.84, 南 北 , 精装 ,28,2012, 塔楼,0,21,2545000.0,"19,602元/平",VR看装修 房本满五年 随时看房 
